cluster,label
"Columbia University | Columbia University in the City of New York | Cornell University | Harvard University | Princeton University | University of California, Berkeley | University of Connecticut | University of Maryland | University of Maryland, College Park | University of Pennsylvania",
Carnegie Mellon | Carnegie Mellon University | Cornell | MIT | Princeton,
Duke | Duke University | Purdue University,
Leland Stanford Junior University | Stanford | Stanford University | UCLA,
Georgia Tech | UCD | UConn | UF | UMD | UVA,
"UC Berkeley | UC San Diego | UCSD | University of California, Davis | University of California, San Diego | Virginia Polytechnic Institute and State University",
Florida | University of Florida,
University of Virginia | Virginia Polytechnic Institute | Virginia Tech,
