HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,GrossWeightKg,ValueOfGoodsFOBUSD,ExportValue
03044200,,,,,,,1633.0,19866.1,22037.99
03044200,,,,,,,1607.0,18968.29,21105.6
03047910,Emp.D/Desarrollo Pesq.D/Chile,LAS CONDES,,23435131.0,, EMP.D/DESARROLLO PESQ.D/CHILE,26289.0,63935.56,69235.56
03021410,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905.0,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,3584.0,20012.46,26326.28
"03021430, 03044120",Cultivos Yadran S.A.,AVENIDA EL PRESEDENTE EDUARDO FREI SANTIAGO DE CHI,,30565393.0,, CULTIVOS YADRAN S.A.,3443.0,34199.64,38606.68
"03021410, 03044120",Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905.0,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,3748.0,38432.9,43216.4
03044120,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348.0,, PRODUCTOS DEL MAR VENTISQUEROS,4988.0,49412.74,57408.54
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A.,246.66,2465.47,2465.47
03044120,Cultivos Yadran S.A.,AVENIDA EL PRESEDENTE EDUARDO FREI SANTIAGO DE CHI,,30565393.0,, CULTIVOS YADRAN S.A.,1089.0,9695.55,11546.85
03044120,Granja Marina Tornagaleones S.A.,SANTIAGO LA,,23449523.0,, GRANJA MARINA TORNAGALEONES S.,10642.0,7852.74,21474.5
03061421,Snowland Com. Exterior Ltda,SANTIAGO,,45903560.0,, SNOWLAND COM. EXTERIOR LTDA,13325.42,199571.2,202326.2
03044120,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576.0,, EXPORTADORA LOS FIORDOS LTDA,2703.0,28107.55,31116.73
03072110,Comercial Aquagro Ltda.,LAS CONDES,,38935634.0,, COMERCIAL AQUAGRO LTDA.,331.0,4007.9,4636.8
03031220,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348.0,, PRODUCTOS DEL MAR VENTISQUEROS,24200.0,106196.0,109700.0
16055300,St.Andrews Smoky Delicacies S.,LAS CONDES,,23446927.0,, ST.ANDREWS SMOKY DELICACIES S.,19400.0,56660.0,65260.0
03044120,Australis Mar S.A.,KLENER 547 2ND FLOOR PUERTO VARAS CHILE,,23435325.0,"AUSTRA-CL, AUSTRALIS-CL", AUSTRALIS MAR S.A.,1035.0,10387.8,11747.4
03044120,Salmones Cupquelan S.A.,AYSEN,,23413764.0,, SALMONES CUPQUELAN S.A.,4486.0,47353.41,53716.33
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A.,1011.0,9554.79,9554.79
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A.,1158.0,11780.59,11780.59
03074390,Ixom Chile S.A.,CHIGUAYANTE,980119648.0,36997900.0,"IBMA-AT, KVM-US, IBMC-BE, IBM-US, IBM-AR, IBMB34-BR", ISAM CHILE S.A.,27818.4,45288.4,48578.4
03048110,Salmones Aysen S.A.,SANTIAGO SA,,23498894.0,, SALMONES AYSEN S.A.,24101.0,222554.0,224795.0
03044120,Granja Marina Tornagaleones S.A.,SANTIAGO LA,,23449523.0,, GRANJA MARINA TORNAGALEONES S.,6055.76,58928.69,65893.09
03031220,Salmones Ice Val Ltda.,PUDAHUEL,,38968598.0,, SALMONES ICE VAL LTDA,24905.1,149204.19,149204.19
03021410,Salmones Camanchaca S.A.,TOME,,23411494.0,, SALMONES CAMANCHACA S.A.,2486.0,14302.41,20671.85
03031220,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A.,49149.0,268954.67,277226.67
16055300,Inmuebles Cataluna Ltda,ANCUD,,44382214.0,, INMUEBLES CATALUNA LIMITADA,22900.8,59266.84,62757.0
03044120,Australis Mar S.A.,KLENER 547 2ND FLOOR PUERTO VARAS CHILE,,23435325.0,"AUSTRA-CL, AUSTRALIS-CL", AUSTRALIS MAR S.A.,2789.0,28464.27,33213.07
03044120,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348.0,, PRODUCTOS DEL MAR VENTISQUEROS,7022.0,69933.73,78199.58
"03031440, 03048200",Aguas Claras S.A.,PUERTO MONTT,,45978663.0,, AGUAS CLARAS S.A,19620.0,223795.0,225895.0
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A.,706.0,7056.74,7056.74
03031220,Salmones Aysen S.A.,SANTIAGO SA,,23498894.0,, SALMONES AYSEN S.A.,24750.0,144800.0,146900.0
03048120,Salmones Pacific Star S.A.,PUERTO MONTT,,33932638.0,, SALMONES PACIFIC STAR S.A.,22920.06,272888.0,275100.0
03044120,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576.0,, EXPORTADORA LOS FIORDOS LTDA,1823.0,17701.46,19735.0
03049943,Invermar S.A.,SANTIAGO SA 5682,,45169223.0,"INVERMAR-CL, INVER-CL", INVERMAR S.A,17680.0,223067.55,230017.55
03044120,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576.0,, EXPORTADORA LOS FIORDOS LTDA,2367.0,23069.81,26993.47
03031310,Multiexport Pacific Farms Sa,SANTIAGO,,39945235.0,MULTIFOODS-CL, MULTIEXPORT PACIFIC FARMS S.A.,22564.0,155942.45,160848.45
03031220,Multiexport Pacific Farms Sa,SANTIAGO,,39945235.0,MULTIFOODS-CL, MULTIEXPORT PACIFIC FARMS S.A.,24760.0,152313.27,155118.27
03044120,Salmones Cupquelan S.A.,AYSEN,,23413764.0,, SALMONES CUPQUELAN S.A.,4054.0,39581.7,45310.71
03021410,Salmones Cupquelan S.A.,AYSEN,,23413764.0,, SALMONES CUPQUELAN S.A.,23500.0,142426.21,142426.21
"03048120, 03049943",Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905.0,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,20010.0,204621.53,208050.39
03031310,Salmones Pacific Star S.A.,PUERTO MONTT,,33932638.0,, SALMONES PACIFIC STAR S.A.,20696.35,146266.6,148566.6
03031220,Salmones Aysen S.A.,SANTIAGO SA,,23498894.0,, SALMONES AYSEN S.A.,24750.0,140550.0,143200.0
03044120,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905.0,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,5103.0,54063.24,60540.49
03031220,Salmones De Chile Alimentos S.,CHONCHI,,42248097.0,, SALMONES DE CHILE ALIMENTOS S.,24750.0,144154.0,147535.0
03021410,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348.0,, PRODUCTOS DEL MAR VENTISQUEROS,22990.0,140600.0,140600.0
16055300,Ria Austral S.A.,LLANQUIHUE,,33777375.0,, RIA AUSTRAL S.A.,22204.0,29704.96,29704.96
03021410,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588.0,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,2514.0,15835.54,21785.84
03021410,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905.0,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,22930.0,139863.27,139863.27
