HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,GrossWeightKg,ValueOfGoodsFOBUSD,ExportValue
03044120,Salmones Humboldt Ltda,AVDA. JUAN SOLER MANFREDININ 41 EDIFICIO TORRE COSTANERA PISO 15 OF. 1501 PUERTO MONTT CHILE,,33478297.0,"MSBHY-US, 8058-JP", SALMONES HUMBOLDT LTDA.,1748.0,11328.56,13863.16
03044200,Caleta Bay Export Ltda.,ILIHUE PITRENO LAGO RANCO CHILE,,23578176.0,, CALETA BAY EXPORT SPA,2322.0,19359.91,19359.91
03031220,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576.0,, EXPORTADORA LOS FIORDOS LTDA. -,25445.51,112186.21,114709.92
16055300,Inmuebles Cataluna Ltda,ANCUD,,44382214.0,, INMUEBLES CATALUNA LTDA.,5250.0,13500.0,13500.0
03044120,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905.0,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,5464.0,39023.16,46648.48
03044120,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905.0,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,5054.0,41158.89,48226.41
03044120,Granja Marina Tornagaleones S.A.,SANTIAGO LA,,23449523.0,, GRANJA MARINA TORNAGALEONES S.,3102.0,25870.96,31764.76
03044200,Salmones Antartica S.A.,SANTIAGO LA,,44382177.0,, SALMONES ANTARTICA S.A.,1772.0,14425.69,14425.69
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A,5840.0,28416.63,28416.63
16055300,Blue Shell S.A.,PROVIDENCIA,,33463925.0,, BLUE SHELL S.A.,17700.0,47023.89,50759.89
03031220,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348.0,, PRODUCTOS DEL MAR VENTISQUEROS,24200.0,82450.0,86710.0
03035511,X X,ANTOFAGASTA,,33929522.0,,X X,78750.0,75000.0,75000.0
03021410,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A.,2497.0,9068.2,15600.0
03044120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588.0,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,7586.0,36106.55,45968.35
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A,3663.0,19517.06,19517.06
"03044120,03045200",Salmones Camanchaca S.A.,TOME,,23411494.0,, SALMONES CAMANCHACA S.A.,9772.0,61939.36,76222.78
03031220,Cermaq Chile S.A.,PUERTO MONTT,,36824242.0,, CERMAQ CHILE S.A,24588.0,101638.57,106038.57
03044120,Salmones Camanchaca S.A.,TOME,,23411494.0,, SALMONES CAMANCHACA S.A.,1700.0,8049.58,10530.33
