HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,NetWeightKg,ValueOfGoodsFOBUSD
0307490000,Spring Valley Fruit S.A.C.,"Carr Sullana Tambogrande No. 7, 11 Industrial Park, Sullana, Peru",934285963,33616228,,SPRING VALLEY FRUIT S.A.C.,26480.0,30664.91
0301110000,Acuario Valentina E.I.R.L,CALLE NAUTA NO.358 PUNCHANA,934315162,44381004,,ACUARIO VALENTINA E.I.R.L,850.0,1920.0
0305200000,El Bosque Empresa Individual De R,MZA. F LOTE. 1 LAS CANTERAS AREQUIPA - AREQUIPA - CERRO COLO,,28301501,,EL BOSQUE EMPRESA INDIVIDUAL DE R LTDA,24000.0,171360.0
0307490000,Pesquera Hayduk S.A.,AV. MANUEL OLGUIN 501 INT. 701 URB. LIMA,,33511181,,PESQUERA HAYDUK S.A.,8814.0,8373.3
0304990000,Matarani Sociedad Anonima Cerrada,AV. FELIPE PARDO Y ALIAGA NRO. 699 INT. 601 A,,36700980,,MATARANI SOCIEDAD ANONIMA CERRADA,5669.06,36603.0
0304890000,Sercosta Sac,"AV. LAS CAMELIAS 491 OF. 402 LIMA, LIMA PROVINCE",,33505349,,SERCOSTA SAC,15172.66,96010.64
0306171300,Eco   Acuicola Sociedad Anonima Cerrada,CARRETERA CHAPAIRA NRO. S-N CAS. RIO SECO (FRENTE A CASERIO,934982989,23353493,,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,1133.98,10392.8
0304890000,Sercosta Sac,"AV. LAS CAMELIAS 491 OF. 402 LIMA, LIMA PROVINCE",,33505349,,SERCOSTA SAC,5874.02,52582.69
0306171300,Eco   Acuicola Sociedad Anonima Cerrada,CARRETERA CHAPAIRA NRO. S-N CAS. RIO SECO (FRENTE A CASERIO,934982989,23353493,,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,20388.87,155349.0
0304890000,Sercosta Sac,"AV. LAS CAMELIAS 491 OF. 402 LIMA, LIMA PROVINCE",,33505349,,SERCOSTA SAC,1769.01,11427.71
0307490000,Productora Andina De Congelados,CAR. TAMBOGRANDE KM. 2.1. MZA. C LO 05 Z.I. Z.INDUSTRIAL MUNICIPAL 1 P RA - SULLANA - SULLANA-PERU TELF.: 51-73508625,,45991342,,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,5100.0,5202.0
0304990000,Matarani Sociedad Anonima Cerrada,AV. FELIPE PARDO Y ALIAGA NRO. 699 INT. 601 A,,36700980,,MATARANI SOCIEDAD ANONIMA CERRADA,5669.06,36603.0
1605540000,Perupez S.A.C.,CAL.LOS RUISEÑORES OESTE NRO. 225 (ALT CDRA 33 DE AV REPUBLI,,28343408,,PERUPEZ S.A.C.,4800.0,13493.0
0301110000,J.R. Tropical Fish Amazon Peru Empresa I,"AV. QUIÑONEZ ROS NRO. 4 (KM. 4, PEGADO AL MOLINO DE MONASI)",,35064069,,J.R. TROPICAL FISH AMAZON PERU EMPRESA I,200.0,498.2
0307490000,Consorcio Industrial El Pacifico Socieda,AV. LA MAR NRO. 638 INT. 703 LIMA - LIMA - MIRAFLORES - LIMA,934056094,28783010,,CONSORCIO INDUSTRIAL EL PACIFICO SOCIEDA,810.0,826.75
0307490000,Exportadora Cetus S.A.C.,"Av. Los Diamantes Mz C Lote 7, Zona Industrial II Etapa, Paita, Peru",,28416107,,EXPORTADORA CETUS S.A.C.,24540.0,27375.0
0304890000,Inversiones Peru Pacifico S.A,CAL. FRAY MARTIN DE MURUA NRO. 150 INT. 1304 URB. MARANGA LI,,29774520,,INVERSIONES PERU PACIFICO S.A,22109.8,192686.42
0307490000,Rofayce Sac,VIA.ZONA INDUSTRIAL IIMZA. B LOTE. 02 Z.I. ZONA INDUSTRIAL I,,45864480,,ROFAYCE S.A.C.,25000.0,23145.0
